Source,Prediction,Reference
"In countries like Kenya, there are only a handful of automotive suppliers","Ở các quốc gia như Kenya, chỉ có một số nhà cung cấp xe hơi","Những nước như Kenya, chỉ có rất ít nhà cung cấp ngành tự động"
"Then, OK. You are a caregiver.","Rồi, OK. Bạn là người chăm sóc.",Tốt thôi. Lúc đó bạn là người chăm sóc cho những người kia.
It is difficult to know exactly how many people die of lightning-related causes.,Khó để biết chính xác bao nhiêu người chết vì các nguyên nhân liên quan đến sét.,Rất khó để biết được chính xác bao nhiều đã chết bởi các nguyên nhân liên quan đến sét.
"Confronting this challenge, Ari Jonsson, a designer and student of Icelandic Institute of Art, produced algae water bottles after the idea of replacing disposable plastic water bottles, used once and thrown away.","Trong thách thức này, ông Ái Jonsson, một nhà thiết kế và học sinh của Viện Nghệ thuật Iceland, sản xuất chai nước tảo sau khi ý tưởng thay thế chai nhựa có thể được sử dụng một lần và ném ra.","Trước thách thức này, Ari Jonsson - một nhà thiết kế, sinh viên của Học viện Nghệ thuật Iceland đã chế tạo ra những chai nước làm từ tảo biển sau khi nảy sinh ý tưởng thay thế những chai nước được làm từ nhựa, chỉ dùng 1 lần rồi bỏ đi."
"“Once trained, the system made predictions that proved correct almost 80 percent of the time,” the Swiss Federal Institute of Technology said in a statement.","“Một khi được huấn luyện, hệ thống đã đưa ra những dự đoán đã đúng gần 80% thời gian,” Viện Công nghệ Liên bang Thụy Sĩ cho biết trong một tuyên bố.","“Một khi được đào tạo, hệ thống sẽ đưa ra các dự đoán, đã được chứng minh là đúng đến gần 80% thời gian xảy ra sét,” Viện Công nghệ Liên bang Thụy Sĩ chia sẻ trong lời tuyên bố của mình."
"we set out to develop this second class of base editor,","chúng tôi lập ra lớp biên tập cơ bản thứ hai,","chúng tôi lên kế hoạch phát triển thế hệ chỉnh sửa thứ hai này,"
"Unfortunately, they are blunt instruments that do not produce naturalistic sleep.","Thật không may, chúng là những công cụ rất lỗi không tạo ra giấc ngủ tự nhiên.","Không may thay, chúng không tạo ra giấc ngủ tự nhiên."
Sonia 's Spanish teacher found out about a contest for exchange program scholarships in Brazil and Spain .,Giáo viên Tây Ban Nha của Sonia phát hiện ra cuộc thi trao đổi các học viên tại Brazil và Tây Ban Nha .,Cô giáo dạy tiếng Tây Ban Nha của Sonia biết thông tin về cuộc thi chương trình trao đổi học bổng ở Braxin và Tây Ban Nha .
"In Scotland , for example , April Fool 's Day is actually celebrated for two days .","Ở Scotland , ví dụ , Ngày Cá tháng Tư thực sự được kỉ niệm trong hai ngày .","Ví dụ , Scotland có 2 ngày Cá tháng Tư ."
They submitted health declarations and were transferred to quarantine facilities in the central province of Quang Nam on arrival.,Họ đã gửi các tuyên bố sức khỏe và được chuyển đến các cơ sở cách ly ở tỉnh miền trung Quảng Nam để đến.,Họ đã nộp tờ khai y ế và được chuyển đến cơ sở kiểm dịch ở tỉnh miền trung Quảng Nam khi đến nơi.
"Researchers had been, for more than a century,","Các nhà nghiên cứu đã từng, hơn một thế kỷ,","Hơn một thế kỷ qua, các nhà nghiên cứu"
""" See ? She 's already very suspicious , and I get the feeling that if you don't rethink this whole thing you could end up divorced and alone .",""" Nhìn thấy ? Cô ấy đã rất nghi ngờ , và tôi cảm thấy rằng nếu bạn không suy nghĩ toàn bộ điều này thì cuối cùng bạn có thể ly hôn và một mình .",""" Cô thấy chưa ? Bà ta rất đa nghi , và tôi thấy nếu cô không cân nhắc lại toàn bộ những gì tôi nói thì cái kết cục dành cho cô sẽ là ly dị và cuộc sống cô đơn một mình ."
"However , the South is wary of a talks process that wins aid for Kim Jong-il 's administration in the North without concessions in return .","Tuy nhiên , Nam Nam đang tranh chấp trong quá trình đàm phán đã chiến thắng viện trợ cho chính quyền Kim Jong-il ở Bắc mà không có sự ủng hộ .","Tuy nhiên , Nam Triều Tiên thận trọng cảnh giác rằng quy trình những cuộc đàm phán này chỉ để đạt được viện trợ cho chính phủ Kim Jong-il ở miền Bắc chứ thay vào đó không có ý muốn nhượng bộ ."
and eventually became independently wealthy Jordanian citizens.,và cuối cùng trở thành công dân từ Jordan tự do.,và cuối cùng thành những công dân Jordan giàu có độc lập.
A bath two or three times a week in the first year is sufficient .,Một lần tắm tắm hai hoặc ba lần một tuần trong năm đầu tiên đủ .,Trong năm đầu mỗi tuần nên tắm cho bé hai hay ba lần là đủ rồi .
New Year 's Planning For Business Owners,Kế hoạch tổ chức năm mới cho các nhà sản xuất doanh nghiệp,Việc lập kế hoạch cho năm mới đối với lãnh đạo doanh nghiệp
"* Refrigerator : Allows slow , safe thawing .","* Nên tắm : Cho phép tắm chậm , an toàn .","* Tủ lạnh : Giúp rã đông chậm , an toàn ."
"One day , while a woodcutter was cutting a branch of a tree above a river , his axe fell into the river .","Một ngày nọ , trong khi một gã gỗ đang cắt một cây trên một con sông , rìa của anh ấy đã rơi vào sông .","Ngày nọ , khi anh tiều phu đang chặt một nhành cây chìa ra bờ sông , chiếc rìu rơi tỏm xuống nước ."
"how we display retweet count,","cách mà chúng ta đánh dấu số lượng tweet,","hiển thị lượt retweet,"
"and keep that laser focus.""","và giữ sự tập trung siêu tử cung.""","và hãy tập trung toàn lực."""
"And before I had even gotten the whole sentence out,","Và trước khi tôi đã lấy toàn bộ câu từ,","Và trước khi tôi nói xong hết câu,"
"Điều này có nghĩa là Google có ảnh hưởng lớn hơn khi nói đến những tính năng nào được phát triển, các phương pháp được chấp nhận và những mối quan tâm về khả năng sử dụng được coi là quan trọng.","The app is a số lượng lớn so với việc Google có sẵn số lượng lớn, các lĩnh vực được sử dụng và các lĩnh vực tương ứng với các lĩnh vực sử dụng được coi là lớn.","This means that Google has a greater influence when it comes to what features are developed, practices accepted, and which usability concerns are deemed vital."
Vice President Joe Biden is scheduled to talk to House Democrats Wednesday afternoon .,Phó Tổng thống Joe Biden dự kiến sẽ nói chuyện với các đảng viên Đảng Dân Chủ Hạ viết chiều thứ Tư .,Phó Chủ tịch Joe Biden sẽ lên kế hoạch nói chuyện với những đảng viên Đảng Dân Chủ của nghị viện vào chiều thứ tư .
"do we have shelter, all those important things.","chúng ta có nơi ở, tất cả những điều quan trọng đó.",liệu ta có nơi trú ẩn không? Tất cả những điều quan trọng này.
"fast and fancy,","nhanh và thú vị,","nhanh chóng và nhiều màu,"
"Former chairman of MobiFone, Le Nam Tra, was sentenced to 23 years in jail while MobiFone’s former general director Cao Duy Hai got a jail term of 14 years.","Giám đốc điều hành của MobiFone, Lê Nam Trà, bị kết án 23 năm tù trong khi cựu giám đốc tổng thống Cao Duy Hải đã tù 14 năm.","Cựu chủ tịch của MobiFone, Lê Nam Trà, bị kết án 23 năm tù trong khi cựu tổng giám đốc của MobiFone Cao Duy Hải sẽ hưởng thời gian trong tù là 14 năm."
word-for-word translation is a useful resource.,từ ngữ là một nguồn tài nguyên hữu ích.,CART trở nên cực kỳ hữu dụng.
Lots of people live with a parent or caregiver who is an alcoholic or who drinks too much .,Rất nhiều người sống với bố hoặc người chăm sóc người rượu rượu hoặc người uống quá nhiều .,Nhiều người sống với bố ( mẹ ) hoặc người chăm sóc có tật nghiện rượu hoặc uống rượu vô độ .
"By now , your baby 's genitals have fully developed , though they may still be difficult to detect on an ultrasound examination .","Vào bây giờ , bộ phận sinh dục của bé đã phát triển hoàn toàn , mặc dù chúng vẫn còn khó phát hiện trong phẫu thuật siêu âm .","Các cơ quan sinh dục ngoài của bé giờ đây đã phát triển đầy đủ , mặc dù có thể rất khó thấy qua kiểm tra siêu âm ."
Tom uses Windows 7.,Tom sử dụng Windows 7.,Tom sử dụng Windows 7.
"I congratulate him , I congratulate Governor Palin , for all they have achieved , and I look forward to working with them to renew this nation 's promise in the months ahead .","Tôi chúc mừng anh ấy , tôi chúc mừng Thống đốc Palin , vì tất cả những gì họ đã đạt được , và tôi mong muốn làm việc với họ để mở rộng lời hứa của quốc gia này trong những tháng tới .","Tôi chúc mừng anh ấy , tôi chúc mừng thống đốc Palin , vì mọi điều họ đã đạt được , và tôi mong được làm việc với họ để đổi mới triển vọng của đất nước này trong tháng tới ."
because I understand the challenge.,vì tôi hiểu thách thức.,bởi vì chúng tôi hiểu thách thức đó.
"I had the opportunity to photograph some of my generation's icons,","Tôi có cơ hội nhìn vào những bức ảnh thế hệ của mình,",Tôi có cơ hội chụp hình cho một vài thần tượng của thế hệ mình
"a lot more machine learning, a lot more deep learning to the problem,","nhiều máy học, học sâu hơn vấn đề,","nghiên cứu về machine learning, deep learning về vấn đề này,"
Country music star Thomas Rhett and celebrity couple Camila Cabello and Shawn Mendes were also among the performers.,Ngôi sao nhạc nước Thomas Rhett và cặp vợ chồng nổi tiếng Camila Cabello và Shawn Mendes cũng là một trong những người thể hiện.,Ngôi sao nhạc đồng quê Thomas Rhett và cặp đôi nổi tiếng Camila Cabello và Shawn Mendes cũng nằm trong số những nghệ sĩ biểu diễn.
I want to hear the rest of the story.,Tôi muốn nghe những câu chuyện còn lại.,Tớ muốn nghe toàn bộ câu chuyện.
and I am the eldest of five children.,và tôi là người lớn nhất của năm đứa trẻ.,và tôi là đứa lớn nhất trong năm đứa trẻ.
"one of the participants told me,","một trong những người tham gia nói với tôi,","một thành viên ở đó đã nói với tôi thế này,"
If we can make such a big breakthrough,Nếu ta có thể tạo ra một bước tiến lớn,Nếu chúng ta có những bước đột phá vậy
"(Crystal) And then when I have to, like,","(Crystal) Và khi tôi phải, như thế,",(Crystal) và khi tôi phải
"Sales of existing homes in the US during July fell 3.5 % from a month earlier , according to the National Association of Realtors .","Theo Hiệp hội các nhà sống sót ở Mỹ trong tháng bảy giảm 3,5% so với một tháng trước đó , theo Hiệp hội các nhà sống ở Quốc gia .","Theo Hiệp Hội Kinh Doanh Bất Động Sản Quốc Gia , doanh số mua bán nhà hiện tại ở Mỹ trong tháng Bảy giảm 3,5% so với tháng trước đó ."
"The Manchester United Supporters Trust , which opposes the Glazer family 's ownership of the club , was suspicious about the flotation .","Người hỗ trợ Manchester United , phản đối sở hữu của gia đình Glazer , đã nghi ngờ về việc khai thác .","Hiệp hội các cổ động viên MU , hiệp hội phản đối quyền sở hữu câu lạc bộ của nhà Glazer , tỏ ra nghi ngờ việc phát hành chứng khoán ra bên ngoài ."
"The worry grew in July , when top Chinese officials flew to Washington , D.C. , to continue their high-level "" strategic dialogue "" : "" That caused concern , because the Japanese feel that we need to be involved in any conversation about security in the region , "" notes Shinzo Kobori of the Institute for International Policy Studies in Tokyo .","Shinzo Kobori thuộc Viện Nghiên cứu Chính sách Quốc tế ở Tokyo lưu ý , lo lắng tăng lên vào tháng bảy , khi các quan chức hàng đầu Trung Quốc bay đến Washington , D.C. , tiếp tục "" cuộc đối thoại chiến lược cao cấp của họ "" : "" Điều đó gây ra lo ngại , vì Nhật Bản cảm thấy chúng ta cần","Nỗi quan ngại này càng tăng cao vào tháng bảy , khi các giới chức chóp bu Trung Quốc bay sang Washington , D.C. , để tiếp tục "" cuộc đối thoại chiến lược "" cấp cao của họ : "" Điều đó khiến phải lo lắng , vì người Nhật cảm thấy rằng mọi cuộc đối thoại về an ninh trong khu vực này đều phải có chúng ta tham dự , "" theo nhận xét của Shinzo Kobori thuộc Viện Nghiên cứu Chính sách Quốc tế ở Tokyo ."
to help them get better and better over time.,để giúp họ trở nên tốt hơn và tốt hơn theo thời gian.,để giúp họ tốt lên theo thời gian.
"But if you 're skipping meals , dieting , or if you 're concerned that you 're not eating enough items from a particular category , such as vegetables or dairy products , then talk to your doctor or to a dietitian .","Nhưng nếu bạn đang bỏ bữa ăn , chết , hoặc nếu bạn lo lắng rằng bạn không ăn đủ các thứ từ một loại đặc biệt , chẳng hạn như rau hoặc các sản phẩm sữa , thì hãy nói chuyện với bác sĩ hoặc bác sĩ để bác sĩ hoặc bác sĩ","Nhưng nếu bạn bỏ bữa , ăn kiêng , hoặc nếu bạn lo rằng bạn không ăn đầy đủ thực phẩm trong các loại đặc biệt như rau hoặc các sản phẩm từ sữa thì hãy tham khảo ý kiến của bác sĩ hoặc chuyên gia dinh dưỡng ."
i will let him drink.,tôi sẽ cho anh ấy uống.,tôi sẽ để anh ấy uống.
"Sahar Gul was sold by her brother to her husband in Baghlan about seven months ago for $ 5,000 .",Sahar Gul được bán bởi anh trai của cô ấy ở Baghlan khoảng bảy tháng trước để mua 5.000 đô la .,Sahar Gul bị anh trai bán cho chồng cô ở Baghlan cách đây khoảng bảy tháng với giá 5.000 đô-la Mỹ .
"Heads and legs were sticking out of the sand , some of them were in the trees . ""","Chân và chân đang bị lật ra khỏi cát , một số trong số đó đang ở trong cây . ""","Đầu và chân lòi ra trên cát , một số thi thể vướng lại trên các thân cây . """
Successful response,Phản ứng thành công,Ứng phó thành công
16 . You are as cold as ice .,16 . Bạn lạnh như băng .,16 . Bạn lạnh như băng .
"While it can hard to imagine any movement in these enormous animals,","Trong khi khó tưởng tượng bất kỳ phong trào nào trong động vật khổng lồ này,",Thật khó để tưởng tượng việc loài vật khổng lồ này di chuyển.
Telecommunications have been disrupted and roads from the nearest airport are badly damaged .,Các đường dây truyền thông đã bị phá hủy và đường từ sân bay gần nhất bị hư hại .,Mạng viễn thông bị cắt đứt và đường sá từ sân bay gần nhất bị hư hại nặng nề .
"Bui Thi Le Phi , Deputy Director of the Can Tho provincial Heath Department , said that local medical workers also face difficulties in separating A_H1N1 from A_H5N1 patients as they show similar symptoms .","Bùi Thị Lê Phi , Phó Giám đốc Sở Tư lục tỉnh Cần Thơ , cho biết các nhân viên y tế địa phương cũng đối mặt với những khó khăn trong việc chia tách A H1N1 so với bệnh nhân A H5N1 vì họ cho thấy các triệu chứng tương tự .",Phó Giám đốc Sở Y tế tỉnh Cần Thơ Bùi Thị Lệ Phi cho biết nhiều cán bộ y tế địa phương cảm thấy khó khăn trong việc cách ly bệnh nhân bị cúm A H1N1 và A H5N1 vì hai loại cúm này có triệu chứng tương tự nhau .
"On 10 February, the eighth case was confirmed to be an Indian expatriate who had interacted with a recently diagnosed person.","Vào ngày 10 tháng 2, trường hợp thứ tám được xác nhận là một người tị nạn Ấn Độ đã tương tác với một người gần đây được chẩn đoán.","Vào ngày 10 tháng 2, trường hợp thứ tám được xác nhận là một người nước ngoài Ấn Độ, người đã tiếp xúc với một người được chẩn đoán gần đây."
Washington has imposed additional sanctions on Pyongyang in response to the deadly sinking of a South Korean war ship earlier this year .,Washington đã áp đặt thêm các biện pháp trừng phạt cho Bình Nhưỡng để đối phó với vụ nổ súng chết người của một tàu chiến Hàn Quốc vào đầu năm nay .,Washington đã áp dụng hình phạt bổ sung ở Bình Nhưỡng để phản ánh vụ đắm chìm chết người của một chiến hạm Nam Triều Tiên vào đầu năm nay .
Nghe,Nghe,Nghe
"Floyd, a 46-year-old black man, died on May 25 after a white police officer kneeled on his neck for several minutes.","Floyd, một người đàn ông da đen 46 tuổi, đã chết vào ngày 25 tháng 5 sau khi một sĩ quan cảnh sát da trắng đang nằm trên cổ trong vài phút.","Floyd, một người đàn ông da đen 46 tuổi, chết vào ngày 25 tháng Năm sau khi bị một người cảnh sát da trắng quỳ đè gối lên cổ trong nhiều phút đồng hồ."
Japan Marks Atomic Bomb Anniversary,Nhật Bản đánh dấu kỷ niệm bom tử tế,Nhật Bản kỷ niệm ngày hứng chịu bom nguyên tử
and exposure to violence in other spaces in my life.,và tiếp xúc với bạo lực trong những không gian khác trong đời tôi.,và phải chịu đựng bạo lực trong nhiều khía cạnh của cuộc sống.
And the clergyman 's wife was sorry for her and took her into service ;,Và vợ của ông từng xin lỗi vì cô ấy và đưa cô ấy vào dịch vụ ;,Và vợ linh mục cảm thấy thương hại cho cô bé và giao việc nhà cho cô bé làm .
"And while the author wrote these words sitting in a comfortable chair,","Và trong khi tác giả viết những từ này ngồi trong ghế thoải mái,",Và khi tác giả ngồi trên một chiếc ghế thoải mái để viết những lời này
Otherwise,"Nếu không,",Hoặc là
Is your mother at home?,Mẹ của bạn ở nhà không?,Mẹ của cháu có ở nhà không?
"Ice , orthotics , and heel pads may provide pain relief …along with better shoes .","Băng , xương , và các miếng giày gót có thể làm cho đau đớn ... cùng với những đôi giày tốt hơn .","một đôi giày tốt hơn , chườm nước đá , điều trị chấn thương chỉnh hình , và đệm gót chân có thể làm giảm đau ."
"Some say it will stop expanding some day and will begin to move in the opposite direction , to grow smaller .","Một số người cho rằng sẽ ngừng mở rộng một ngày và sẽ bắt đầu di chuyển theo hướng ngược lại , để phát triển nhỏ hơn .","Một số khác thì nói nó sẽ ngưng bành trướng vào một ngày nào đó và sẽ bắt đầu di chuyển theo chiều ngược lại , để co nhỏ lại hơn ."
"If you did not receive a tetanus vaccine as a child , you should start with a three-dose primary series protecting against both tetanus and diphtheria ( Td ) .","Nếu bạn không tiêm vắc-xin ngừa uốn ván như trẻ , bạn nên bắt đầu với loạt vắc-xin chính là bảo vệ cả uốn ván và bạch hầu ba liều ( Td ) .",Nếu bạn không tiêm vắc-xin uốn ván hồi còn bé thì bạn sẽ bắt đầu bằng loạt đầu 3 liều phòng cả uốn ván và bạch hầu ( Td ) .
"“Demand remains very weak this week,” a trader based in Ho Chi Minh City said","“Doanh thu vẫn yếu trong tuần này,” một thương nhân ở thành phố Hồ Chí Minh cho biết",Một thương nhân ở thành phố Hồ Chí Minh cho biết: “Nhu cầu vẫn còn rất yếu trong tuần này”.
and this is where the alliances come into place.,và đây là nơi các liên minh đã được đặt ra.,và đây là nơi liên minh ra đời.
and these are meant to be love stories to microbes.,và chúng có nghĩa là những câu chuyện yêu thương cho vi sinh vật.,"và chúng vốn là chuyện tình yêu đối với các vi sinh vật,"
"I mean, drive-by birthday parties.","Ý tôi là, các buổi tiệc sinh nhật từng lúc.",Ví dụ như tổ chức tiệc sinh nhật bằng cách lái xe qua nhà nhau.
"So by now you're probably wondering,","Vì vậy bây giờ bạn có thể tự hỏi,","Bây giờ mọi người đang băn khoăn,"
A styling product for thin hair may help hide hair loss .,Một sản phẩm sơn tóc mỏng có thể giúp giảm rụng tóc .,Sản phẩm tạo dáng cho tóc thưa có thể giúp che được vùng tóc rụng .
But I also have students who go to the homeless shelter,Nhưng tôi cũng có những học sinh đi đến nơi ẩn náu,Nhưng cũng có những học sinh phải trở về mái ấm vô gia cư
Alright.,Được rồi.,[Được rồi.]
"Not afraid to unleash his shooting prowess from the distance , Essien is an all-rounder who excels in defensive play too .","Không sợ hãi những lần lượt lượt những lần đánh bại của mình từ xa , Essien cũng là một cầu thủ tất cả những người đang tốt nghiệp trong trận đấu phòng thủ .","Không chỉ lợi hại với những cú sút xa , Essien còn là cầu thủ toàn diện trong phòng thủ ."
We still use a mouse and keyboards. We're clicking on screens and buttons.,Chúng ta vẫn sử dụng chuột và bàn phím. Chúng ta nhấn vào màn hình và nút.,Chúng ta vẫn sử dụng chuột và bàn phím. Ta nhấp chuột trên màn hình và nút bấm.
The most common type of UTI is acute cystitis often referred to as a bladder infection .,Loại nhiễm trùng đường tiểu thường thấy nhất là viêm xương tiểu cấp tính thường được gọi là nhiễm trùng bàng quang .,Loại UTI thường gặp nhất là viêm bàng quang cấp thường được coi như chứng viêm bàng quang .
5 : Not sweating a fever in a newborn,5 : Không mồ hôi sốt ở trẻ sơ sinh,5 . Không hạ sốt cho trẻ sơ sinh
"The Haiyang Dizhi 8 was tagging Malaysian exploration vessel West Capella, belonging to state oil company Petronas, in the East Sea, known internationally as the South China Sea, on April 17, Reuters reported.","Ông Haiyang Dizhi 8 đang tập hợp tàu khám phá Malaysia West Capella, thuộc công ty dầu khí bang Petronas, ở Biển Đông, được gọi quốc tế là Biển Đông, vào ngày 17 tháng 4, Reuters đưa tin.","Haiyang Dizhi 8 (Hải Dương Địa Chất 8)  được cho là tàu thăm dò của Malaysia West Capella, thuộc công ty dầu mỏ nhà nước Petronas, ở Biển Đông, được quốc tế gọi là Biển Nam Trung Hoa, vào ngày 17 tháng 4, theo Reuters đưa tin."
but I don't think that's crucial.,nhưng tôi không nghĩ điều đó là quan trọng.,nhưng tôi không nghĩ việc đó quan trọng.
and autoimmune disorders like lupus.,và các rối loạn miễn dịch như lupus.,và các bệnh tự miễn như lupus.
"Stephen Fisk , who visits Britain 's abandoned villages and documents them on his website , says his devotion was stimulated by the human stories behind evictions and resettlements .","Stephen Fisk , người đến thăm những ngôi làng bị bỏ hoang trên trang web của Anh , cho biết sự tình yêu của anh được kích thích bởi những câu chuyện của con người đằng sau những lối sống và tái xây dựng .","Stephen Fisk , đi thăm các ngôi làng bị bỏ hoang ở Anh và đưa tư liệu về chúng lên trang web của mình , nói rằng lòng say mê của anh ấy chịu ảnh hưởng của những câu chuyện về con người đằng sau những lần tái định cư và những lần bị trục xuất ."
Pentagon destroys thousands of copies of Army officer 's memoir,Lầu năm nay tiêu diệt hàng ngàn bản sao của tờ tờ tấn công quân đội,Lầu năm góc huỷ hàng ngàn cuốn hồi ký của một sĩ quan quân đội
"a 24-year-old mother of two,","một người mẹ 24 tuổi,","một bà mẹ hai con 24 tuổi,"
that was passed in 1990,được truyền vào năm 1990,được ban hành năm 1990
This helps them avoid mid-air collisions,Điều này giúp họ tránh các vụ va chạm giữa không khí,"giúp chim tránh được những cuộc va chạm trên không,"
and then making them one of the heroes of the show.,và khiến họ trở thành một trong những anh hùng của chương trình.,và sau đó làm cho họ trở thành người hùng của buổi diễn.
You can also find vitamin D by itself in higher-dose tablets and in combination with calcium .,Bạn cũng có thể tự tìm thấy vitamin D trong các loại máy tính bảng liều cao hơn và kết hợp với can-xi .,Bạn cũng có thể bổ sung một mình vitamin D bằng viên uống liều cao hơn và dùng kết hợp với can-xi .
i talked to someone else.,tôi nói chuyện với người khác.,tôi đã nói chuyện với người khác.
eight hours of sleep.,tám tiếng đồng hồ.,ngủ đủ tám tiếng.
"Speaking gently , slowly lower your baby up to the chest into the tub .","Nói nhẹ nhàng , chậm chạm bé lên ngực vào tủ .","Nói ngọt ngào , từ từ hạ người của bé xuống tới ngực trong chậu tắm ."
Other research directions include the development of a COVID-19 vaccine and convalescent plasma transfusion.,Các hướng dẫn nghiên cứu khác bao gồm việc phát triển vắc-xin COVID-19 và truyền huyết tương tăng lên.,Các hướng nghiên cứu khác bao gồm phát triển vắc-xin COVID-19.
"The fifth and final volume starts with slab , a concrete road , and ends with zydeco , a kind of music popular in Louisiana .","Lượng thứ năm và cuối cùng bắt đầu với sợi , một con đường xây dựng , và kết thúc với zydeco , một loại nhạc được nổi tiếng ở Louisiana .","Tập 5 và cũng là tập cuối bắt đầu với từ slab , đường bê-tông và kết thúc với từ Zydecom - một thể loại âm nhạc thịnh hành ở Louisiana ."
"But again, we’ve only seen it in a limited range of applications.","Nhưng lại, chúng tôi chỉ thấy nó trong một loạt các ứng dụng hạn chế.","Nhưng một lần nữa, chúng ta chỉ nhìn thấy nó trong một phạm vi giới hạn của ứng dụng."
COVID-19: What role does blood type play?,COVID-19: Nhóm máu đóng vai trò gì?,COVID-19: Nhóm máu đóng vai trò gì?
"Work started on the Great Wall in 500BC to protect China 's northern border , and it remains the world 's largest man-made structure .","Công việc bắt đầu trên tường lớn 500BC để bảo vệ biên giới phía bắc của Trung Quốc , và nó vẫn là cấu trúc người đàn ông lớn nhất thế giới .","Vạn Lý Trường Thành bắt đầu được xây dựng từ khoảng 500 năm trước công nguyên nhằm bảo vệ biên giới phía Trung Quốc , và nó là kiến trúc nhân tạo lớn nhất còn sót lại trên thế giới ."
"it could be Santiago,","nó có thể là Santiago,","có thể là Santiago,"
"Ewanick , 52 , joined GM a little over two years ago as head of marketing for the U.S .","Ewanick , 52 tuổi , tham gia GM một chút trong hai năm trước như làm trưởng quảng cáo cho Hoa Kỳ .","Ewanick , 52 tuổi , đã gia nhập GM hơn 2 năm trước với vị trí giám đốc marketing tại Mỹ ."
""" What I can see from where I am in the central city is that there are significant amounts of additional damage , "" Parker said .",""" Tôi có thể thấy từ nơi tôi ở trung tâm thành phố là có rất nhiều thiệt hại , "" Parker nói .",""" Những gì tôi có thể nhìn thấy từ trung tâm thành phố là những thiệt hại vô cùng to lớn , "" ông Parker đã nói ."
"care for them and support them,","chăm sóc họ và hỗ trợ họ,",luôn lo lắng và hỗ trợ chúng
""" I 'm sorry .",""" Tôi xin lỗi .",""" Tôi không thể ."
of how to scale biology.,về cách định lượng sinh học.,về cách chia tỷ lệ sinh học.
It does not just name our society.,Nó không chỉ gọi điện cho xã hội của chúng ta.,Nó không những đặt tên cho xã hội.
"United , among the best-supported clubs in the world , said it would use money from the listing to repay debt .","MU , trong số những câu lạc bộ được hỗ trợ tốt nhất trên thế giới , cho biết họ sẽ sử dụng tiền từ danh sách để trả nợ .","MU , một trong số những câu lạc bộ có nhiều cổ động viên nhất trên thế giới , cho biết họ sẽ dùng tiền bán cổ phiếu để trả nợ ."
What are your signs ?,Các dấu hiệu của bạn là gì ?,Còn dấu hiệu của bạn là gì ?
"First of all, the active process amplifies sound,","Đầu tiên, quá trình hoạt động tạo ra âm thanh,","Đầu tiên, quá trình hoạt hoá khuếch đại âm thanh,"
"One of the most notable examples of hyperinflation occurred in Germany in 1923 , when prices rose 2,500% in one month !","Một trong những ví dụ tốt nhất về lạm phát xảy ra ở Đức vào năm 1923 , khi giá tăng 2,500% trong một tháng !","Một trong những ví dụ đáng chú ý nhất về siêu lạm phát là sự kiện xảy ra ở Đức năm 1923 , khi giá cả tăng 2,500% trong một tháng ."
"As well as the debt issue , analysts have seen a Singapore listing as an aggressive move by the club to create an even stronger presence in Asia .","Cũng như vấn đề nợ , các nhà phân tích đã xem danh sách Singapore là một động thái hung hăng của câu lạc bộ để tạo ra một sự hiện diện mạnh hơn ở châu Á .","Cũng như việc phát hành chứng khoán , các nhà phân tích xem sự kiện niêm yết tại Singapore là một động thái tích cực của câu lạc bộ nhằm tạo ra sự hiện diện rõ ràng hơn nữa ở châu Á ."
"If you 're one of the lucky ones to get it up and running , make sure to let me know how it plays ( looks like a turn-based RPG ? ) .","Nếu bạn là một trong những người may mắn để tạo ra nó và chạy , hãy đảm bảo tôi biết nó chơi như thế nào ( trông giống như một môn đánh bóng ? ) .","Nếu bạn là người may mắn có thể tải và chạy chương trình , hãy cho tôi biết nó chơi như thế nào ( liệu nó có giống như trò chơi nhập vai theo lượt RPG hay không ? ) ."
"isolation, loneliness --","cô lập, cô đơn --","cô lập, cô đơn --"
"On 21 February, the tenth and eleventh case were confirmed to be a 34-year-old Filipino national and a 39-year-old Bangladeshi national who had contact with a Chinese national who had been diagnosed with the virus.","Vào ngày 21 tháng 2, trường hợp thứ 10 và thứ 11 đã được xác nhận là một quốc gia Philippines 34 tuổi và một quốc gia Bangladesh 39 tuổi, đã tiếp xúc với một quốc gia Trung Quốc đã được chẩn đoán nhiễm virus.","Vào ngày 21 tháng 2, trường hợp thứ mười và mười một được xác nhận là quốc tịch Philippines 34 tuổi và quốc tịch Bangladesh 39 tuổi, có liên hệ với một công dân Trung Quốc được chẩn đoán nhiễm virus."
someone named Zeno of Citium taught many lectures,người tên là Zeno của Citium dạy nhiều bài học,một người có tên Zeno thành Citium đã giảng rất nhiều bài học
One was a woman in her 70s who had been in the hospital for respiratory illness and was discharged and is considered a probable case.,"Một người phụ nữ ở độ tuổi 70, đã ở bệnh viện để bị bệnh hô hấp và được xuất viện và được xem là một trường hợp có thể.","Một người là một phụ nữ ở độ tuổi 70, đang nằm viện vì bệnh hô hấp và đã được xuất viện và được coi là một trường hợp có thể xảy ra."
China seized the Paracel Islands by force in 1974 and has been illegally occupying it since.,Trung Quốc đã thu giữ quần đảo Hoàng Sa bằng lực lượng vào năm 1974 và đã bị chiếm quyền bất hợp pháp kể từ đó.,Trung Quốc chiếm quần đảo Hoàng Sa bằng vũ lực vào năm 1974 và đã chiếm đóng trái phép kể từ đó.
